"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
1/10/2017 01:00,27.8,5.1,10.2,1.006
1/10/2017 02:00,12.5,5.1,9.8,1.006
1/10/2017 03:00,15.8,5.7,9.6,1.006
1/10/2017 04:00,14.8,4.6,9.2,1.005
1/10/2017 05:00,17.4,2.0,8.6,1.006
1/10/2017 06:00,15.8,8.8,8.0,1.006
1/10/2017 07:00,18.1,8.7,8.0,1.007
1/10/2017 08:00,15.3,0.0,10.1,1.007
1/10/2017 09:00,11.4,0.6,12.3,1.007
1/10/2017 10:00,15.6,2.9,13.5,1.008
1/10/2017 11:00,17.7,1.0,14.7,1.007
1/10/2017 12:00,12.7,2.7,16.4,1.007
1/10/2017 13:00,8.0,3.2,16.3,1.006
1/10/2017 14:00,10.3,3.9,15.3,1.006
1/10/2017 15:00,7.9,4.4,15.0,1.005
1/10/2017 16:00,,,14.8,1.005
1/10/2017 17:00,,,14.4,1.005
1/10/2017 18:00,6.5,3.9,14.0,1.005
1/10/2017 19:00,8.8,3.3,13.2,1.005
1/10/2017 20:00,14.7,3.6,12.5,1.006
1/10/2017 21:00,10.3,2.2,11.9,1.006
1/10/2017 22:00,16.0,7.2,11.4,1.006
1/10/2017 23:00,9.1,3.6,10.9,1.006
2/10/2017 00:00,,,10.2,1.006
2/10/2017 01:00,5.0,6.0,9.6,1.006
2/10/2017 02:00,10.5,5.4,9.3,1.005
2/10/2017 03:00,8.9,3.5,9.1,1.005
2/10/2017 04:00,12.3,7.2,8.5,1.005
2/10/2017 05:00,12.0,5.5,8.2,1.005
2/10/2017 06:00,4.4,5.2,7.7,1.006
2/10/2017 07:00,9.4,4.4,7.7,1.006
2/10/2017 08:00,5.5,,9.4,1.006
2/10/2017 09:00,,,13.8,1.006
2/10/2017 10:00,8.4,,18.3,1.005
2/10/2017 11:00,6.9,0.1,19.4,1.005
2/10/2017 12:00,16.5,,20.2,1.004
2/10/2017 13:00,13.3,5.5,21.1,1.003
2/10/2017 14:00,8.5,4.6,20.2,1.002
2/10/2017 15:00,13.9,3.8,19.0,1.001
2/10/2017 16:00,5.3,,19.0,1.001
2/10/2017 17:00,18.0,2.9,19.9,1.001
2/10/2017 18:00,9.9,4.4,18.5,1.001
2/10/2017 19:00,11.8,5.6,17.3,1.001
2/10/2017 20:00,12.1,8.9,16.0,1.002
2/10/2017 21:00,8.5,7.6,14.8,1.002
2/10/2017 22:00,12.8,4.2,14.7,1.002
2/10/2017 23:00,18.5,9.2,14.0,1.002
3/10/2017 00:00,,,13.3,1.002
3/10/2017 01:00,20.2,13.0,12.9,1.001
3/10/2017 02:00,12.0,9.4,12.9,1.001
3/10/2017 03:00,11.6,5.9,11.6,1.001
3/10/2017 04:00,23.8,6.1,10.6,1.001
3/10/2017 05:00,18.1,2.1,10.9,1.001
3/10/2017 06:00,11.7,5.3,10.9,1.001
3/10/2017 07:00,13.9,4.8,11.4,1.002
3/10/2017 08:00,13.3,0.8,13.6,1.002
3/10/2017 09:00,17.6,0.7,19.8,1.001
3/10/2017 10:00,11.6,-1.6,24.8,1.002
3/10/2017 11:00,18.9,4.3,25.6,1.001
3/10/2017 12:00,24.3,2.9,26.3,1.001
3/10/2017 13:00,17.9,7.4,26.8,1.000
3/10/2017 14:00,13.4,9.2,24.6,0.999
3/10/2017 15:00,26.6,7.3,24.9,0.998
3/10/2017 16:00,25.4,12.6,25.1,0.998
3/10/2017 17:00,5.8,8.4,24.9,0.998
3/10/2017 18:00,13.6,3.7,24.4,0.998
3/10/2017 19:00,11.8,10.8,21.9,0.998
3/10/2017 20:00,21.2,11.3,20.2,0.999
3/10/2017 21:00,26.4,7.4,19.2,0.999
3/10/2017 22:00,18.8,6.2,19.1,0.999
3/10/2017 23:00,11.8,1.6,19.2,0.998
4/10/2017 00:00,11.2,8.7,19.1,0.998
4/10/2017 01:00,7.5,6.1,19.1,0.997
4/10/2017 02:00,7.5,2.2,19.3,0.997
4/10/2017 03:00,7.8,0.8,19.6,0.996
4/10/2017 04:00,6.0,0.5,19.7,0.995
4/10/2017 05:00,9.9,0.2,19.2,0.995
4/10/2017 06:00,8.7,3.2,19.2,0.996
4/10/2017 07:00,12.2,5.6,19.2,0.996
4/10/2017 08:00,11.7,9.3,20.3,0.996
4/10/2017 09:00,16.7,6.7,23.9,0.997
4/10/2017 10:00,11.8,0.5,26.6,0.997
4/10/2017 11:00,22.1,4.0,28.3,0.996
4/10/2017 12:00,24.9,0.3,29.3,0.996
4/10/2017 13:00,14.9,6.4,29.0,0.995
4/10/2017 14:00,28.1,4.8,27.9,0.994
4/10/2017 15:00,27.5,4.3,27.9,0.993
4/10/2017 16:00,25.5,10.5,26.2,0.993
4/10/2017 17:00,23.2,8.3,23.5,0.994
4/10/2017 18:00,76.1,8.9,20.4,0.995
4/10/2017 19:00,113.0,10.0,20.2,0.994
4/10/2017 20:00,89.0,8.7,20.0,0.995
4/10/2017 21:00,28.5,0.9,16.8,0.996
4/10/2017 22:00,11.0,3.0,15.0,0.997
4/10/2017 23:00,10.3,0.4,14.3,0.998
5/10/2017 00:00,7.8,7.9,13.5,0.998
5/10/2017 01:00,17.7,6.1,13.1,0.997
5/10/2017 02:00,24.7,6.2,12.8,0.997
5/10/2017 03:00,22.0,4.5,12.8,0.996
5/10/2017 04:00,20.8,7.7,13.0,0.996
5/10/2017 05:00,18.4,7.2,13.2,0.997
5/10/2017 06:00,22.1,8.3,13.0,0.997
5/10/2017 07:00,30.9,12.0,13.3,0.998
5/10/2017 08:00,26.2,9.0,14.0,0.999
5/10/2017 09:00,31.4,12.1,14.2,1.000
5/10/2017 10:00,31.3,7.7,14.9,1.001
5/10/2017 11:00,16.2,5.9,15.6,1.001
5/10/2017 12:00,12.7,6.5,16.9,1.001
5/10/2017 13:00,16.5,6.6,17.1,1.001
5/10/2017 14:00,13.4,4.2,17.2,1.001
5/10/2017 15:00,18.5,1.9,16.7,1.001
5/10/2017 16:00,12.3,7.2,16.4,1.002
5/10/2017 17:00,17.6,9.7,15.5,1.002
5/10/2017 18:00,23.9,2.8,14.0,1.003
5/10/2017 19:00,21.5,4.4,12.4,1.004
5/10/2017 20:00,15.2,1.3,11.7,1.004
5/10/2017 21:00,10.8,3.6,11.6,1.005
5/10/2017 22:00,16.0,1.5,11.1,1.005
