"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
1/09/2017 01:00,3.1,3.5,14.2,1.001
1/09/2017 02:00,2.3,,13.8,1.000
1/09/2017 03:00,1.9,,13.4,1.000
1/09/2017 04:00,3.3,-0.7,13.6,0.999
1/09/2017 05:00,6.2,3.3,13.8,0.999
1/09/2017 06:00,2.4,0.4,14.3,0.999
1/09/2017 07:00,5.8,-0.1,14.6,0.999
1/09/2017 08:00,4.1,6.1,15.7,1.000
1/09/2017 09:00,8.9,3.3,16.5,1.000
1/09/2017 10:00,8.2,2.5,17.5,1.000
1/09/2017 11:00,6.8,,20.7,0.999
1/09/2017 12:00,7.8,5.4,21.5,0.999
1/09/2017 13:00,14.7,5.3,22.9,0.997
1/09/2017 14:00,25.3,5.2,23.0,0.997
1/09/2017 15:00,19.2,2.6,22.1,0.996
1/09/2017 16:00,17.6,8.1,20.5,0.996
1/09/2017 17:00,24.0,6.8,20.1,0.996
1/09/2017 18:00,18.6,5.4,19.4,0.996
1/09/2017 19:00,21.4,6.2,18.4,0.996
1/09/2017 20:00,19.3,8.5,17.5,0.996
1/09/2017 21:00,15.3,7.5,17.3,0.996
1/09/2017 22:00,15.8,7.5,17.4,0.997
1/09/2017 23:00,13.2,7.3,16.9,0.997
2/09/2017 00:00,,,16.2,0.997
2/09/2017 01:00,2.0,-1.0,15.4,0.996
2/09/2017 02:00,,-2.3,14.4,0.995
2/09/2017 03:00,6.0,5.5,13.9,0.995
2/09/2017 04:00,3.4,1.2,12.8,0.996
2/09/2017 05:00,4.8,1.8,12.8,0.996
2/09/2017 06:00,0.6,1.8,12.6,0.995
2/09/2017 07:00,2.2,3.5,12.8,0.994
2/09/2017 08:00,5.4,2.0,13.3,0.994
2/09/2017 09:00,1.6,3.9,14.6,0.994
2/09/2017 10:00,7.6,3.7,15.6,0.994
2/09/2017 11:00,10.2,8.9,17.3,0.993
2/09/2017 12:00,19.3,13.8,20.4,0.993
2/09/2017 13:00,24.3,9.4,21.1,0.991
2/09/2017 14:00,19.5,3.2,20.9,0.990
2/09/2017 15:00,14.9,2.9,20.7,0.989
2/09/2017 16:00,11.6,2.6,20.3,0.989
2/09/2017 17:00,9.9,3.7,19.7,0.989
2/09/2017 18:00,12.6,4.7,18.7,0.988
2/09/2017 19:00,18.5,8.8,17.7,0.988
2/09/2017 20:00,27.2,10.3,16.6,0.989
2/09/2017 21:00,10.3,2.5,14.8,0.990
2/09/2017 22:00,5.1,5.3,15.3,0.989
2/09/2017 23:00,4.1,,14.3,0.988
3/09/2017 00:00,0.5,-2.9,12.2,0.988
3/09/2017 01:00,8.6,4.7,10.9,0.989
3/09/2017 02:00,20.3,6.1,9.9,0.989
3/09/2017 03:00,15.4,6.6,10.3,0.988
3/09/2017 04:00,18.9,6.6,10.5,0.988
3/09/2017 05:00,26.4,6.4,10.5,0.989
3/09/2017 06:00,26.2,11.3,9.6,0.990
