"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
1/04/2018 01:00,,,18.3,0.994
1/04/2018 02:00,7.1,-0.2,17.9,0.994
1/04/2018 03:00,11.6,-1.7,17.9,0.993
1/04/2018 04:00,8.6,4.3,17.6,0.993
1/04/2018 05:00,9.9,,17.0,0.993
1/04/2018 06:00,9.0,3.2,16.9,0.993
1/04/2018 07:00,5.4,1.0,16.5,0.993
1/04/2018 08:00,,,17.4,0.994
1/04/2018 09:00,10.5,13.7,19.8,0.994
1/04/2018 10:00,9.8,0.7,22.1,0.994
1/04/2018 11:00,9.0,,26.6,0.994
1/04/2018 12:00,,,28.0,0.994
1/04/2018 13:00,2.5,6.5,26.2,0.994
1/04/2018 14:00,9.2,-0.4,24.9,0.993
1/04/2018 15:00,16.9,,24.5,0.993
1/04/2018 16:00,18.7,,24.3,0.993
1/04/2018 17:00,11.4,8.4,23.9,0.994
1/04/2018 18:00,11.0,10.7,22.8,0.994
1/04/2018 19:00,15.9,,21.7,0.994
1/04/2018 20:00,11.4,13.5,20.7,0.995
1/04/2018 21:00,6.6,7.1,20.0,0.996
1/04/2018 22:00,,,19.3,0.996
1/04/2018 23:00,24.0,13.6,18.2,0.997
2/04/2018 00:00,,,17.6,0.997
2/04/2018 01:00,8.5,5.7,17.5,0.998
2/04/2018 02:00,,,17.6,0.998
2/04/2018 03:00,5.4,,17.4,0.998
2/04/2018 04:00,7.9,5.5,17.0,0.998
2/04/2018 05:00,6.5,,17.0,0.999
2/04/2018 06:00,10.1,,16.8,1.000
2/04/2018 07:00,15.5,,16.2,1.000
2/04/2018 08:00,18.8,,16.0,1.001
2/04/2018 09:00,26.0,5.9,17.9,1.002
2/04/2018 10:00,20.6,4.0,18.5,1.002
2/04/2018 11:00,12.4,9.1,20.5,1.002
2/04/2018 12:00,15.0,,22.3,1.002
2/04/2018 13:00,14.4,6.5,21.4,1.001
2/04/2018 14:00,14.4,,20.7,1.001
2/04/2018 15:00,16.8,,20.4,1.001
2/04/2018 16:00,12.0,,20.0,1.001
2/04/2018 17:00,15.2,3.0,20.0,1.001
2/04/2018 18:00,12.7,-0.4,19.7,1.001
