"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
1/06/2017 1:00 AM,16.2,8.1,6.1,1.016
1/06/2017 2:00 AM,14.6,9.1,5.7,1.016
1/06/2017 3:00 AM,10.7,1.5,5.7,1.016
1/06/2017 4:00 AM,8.5,5.6,5.8,1.016
1/06/2017 5:00 AM,6.6,3.3,5.6,1.016
1/06/2017 6:00 AM,7.5,2.8,5.4,1.016
1/06/2017 7:00 AM,10.4,0.7,5.5,1.016
1/06/2017 8:00 AM,10.6,-1.1,5.7,1.016
1/06/2017 9:00 AM,16.0,4.3,6.8,1.016
1/06/2017 10:00 AM,28.7,6.6,10.9,1.017
1/06/2017 11:00 AM,1.7,4.7,14.9,1.017
1/06/2017 12:00 PM,6.2,8.3,15.3,1.017
1/06/2017 1:00 PM,8.9,7.3,15.7,1.016
1/06/2017 2:00 PM,14.6,10.2,15.9,1.015
1/06/2017 3:00 PM,17.2,9.2,14.7,1.014
1/06/2017 4:00 PM,22.6,23.5,14.0,1.014
1/06/2017 5:00 PM,19.9,20.0,12.6,1.014
1/06/2017 6:00 PM,29.4,14.5,11.6,1.015
1/06/2017 7:00 PM,35.8,10.7,10.5,1.015
1/06/2017 8:00 PM,42.2,13.0,9.2,1.015
1/06/2017 9:00 PM,33.4,17.5,8.7,1.016
1/06/2017 10:00 PM,40.5,24.0,7.2,1.016
1/06/2017 11:00 PM,38.7,16.9,6.9,1.016
2/06/2017 12:00 AM,52.9,28.8,6.7,1.016
2/06/2017 1:00 AM,31.3,19.4,6.8,1.015
2/06/2017 2:00 AM,17.4,7.9,7.3,1.015
2/06/2017 3:00 AM,6.9,3.1,7.5,1.015
2/06/2017 4:00 AM,3.3,6.2,7.6,1.014
2/06/2017 5:00 AM,8.5,3.9,7.2,1.014
2/06/2017 6:00 AM,9.5,0.1,7.0,1.014
2/06/2017 7:00 AM,18.4,5.1,6.0,1.015
2/06/2017 8:00 AM,15.3,5.3,6.4,1.015
2/06/2017 9:00 AM,13.7,6.0,7.3,1.016
2/06/2017 10:00 AM,23.1,5.2,11.1,1.016
2/06/2017 11:00 AM,0.8,1.3,15.7,1.016
2/06/2017 12:00 PM,5.7,7.7,16.1,1.015
2/06/2017 1:00 PM,11.0,4.7,17.0,1.014
2/06/2017 2:00 PM,8.3,3.9,17.3,1.013
2/06/2017 3:00 PM,12.5,10.2,17.3,1.013
2/06/2017 4:00 PM,18.7,9.9,15.4,1.013
2/06/2017 5:00 PM,25.6,11.4,13.7,1.013
2/06/2017 6:00 PM,28.6,14.2,12.1,1.013
2/06/2017 7:00 PM,36.2,10.3,11.0,1.013
2/06/2017 8:00 PM,44.5,17.9,9.8,1.013
2/06/2017 9:00 PM,41.3,21.9,9.0,1.013
2/06/2017 10:00 PM,32.8,21.2,8.4,1.013
2/06/2017 11:00 PM,20.8,14.7,8.4,1.013
3/06/2017 12:00 AM,13.9,12.6,7.8,1.013
3/06/2017 1:00 AM,18.3,9.9,6.8,1.012
3/06/2017 2:00 AM,9.3,7.9,7.4,1.012
3/06/2017 3:00 AM,9.0,3.1,8.0,1.012
3/06/2017 4:00 AM,5.5,2.2,8.2,1.011
3/06/2017 5:00 AM,6.0,0.7,8.2,1.011
3/06/2017 6:00 AM,9.2,3.8,7.5,1.011
3/06/2017 7:00 AM,9.0,5.7,6.2,1.012
