"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
1/03/2018 01:00,13.5,-0.3,17.8,1.000
1/03/2018 02:00,20.0,15.5,17.5,0.999
1/03/2018 03:00,22.1,7.5,17.3,0.999
1/03/2018 04:00,17.4,9.1,16.9,0.999
1/03/2018 05:00,20.5,3.3,16.9,0.999
1/03/2018 06:00,25.0,5.7,16.9,1.000
1/03/2018 07:00,23.5,9.9,16.9,1.000
1/03/2018 08:00,22.1,,17.6,1.000
1/03/2018 09:00,17.9,5.7,18.6,1.000
1/03/2018 10:00,18.0,,22.5,1.000
1/03/2018 11:00,22.3,6.8,25.8,0.999
1/03/2018 12:00,10.8,7.6,27.8,0.998
1/03/2018 13:00,,4.4,28.0,0.997
1/03/2018 14:00,7.9,6.3,27.2,0.996
1/03/2018 15:00,19.6,5.5,27.4,0.995
1/03/2018 16:00,27.5,5.5,27.4,0.995
1/03/2018 17:00,29.8,3.6,26.7,0.994
1/03/2018 18:00,23.3,7.4,25.3,0.995
1/03/2018 19:00,41.3,11.1,23.9,0.995
1/03/2018 20:00,25.3,8.1,22.3,0.995
1/03/2018 21:00,15.1,,22.0,0.995
1/03/2018 22:00,14.3,,21.8,0.995
1/03/2018 23:00,8.8,7.3,21.9,0.995
2/03/2018 00:00,,,21.4,0.995
2/03/2018 01:00,,,21.0,0.995
2/03/2018 02:00,12.5,5.7,20.9,0.994
2/03/2018 03:00,12.4,6.6,20.4,0.994
2/03/2018 04:00,20.8,5.4,21.4,0.993
2/03/2018 05:00,,,22.4,0.993
2/03/2018 06:00,,,22.7,0.993
2/03/2018 07:00,,,23.1,0.993
2/03/2018 08:00,,1.2,23.4,0.993
2/03/2018 09:00,,,24.6,0.993
2/03/2018 10:00,12.4,,25.8,0.993
2/03/2018 11:00,10.5,,28.9,0.992
2/03/2018 12:00,,,30.4,0.992
2/03/2018 13:00,,8.6,31.0,0.992
2/03/2018 14:00,,8.3,30.3,0.991
2/03/2018 15:00,,,30.4,0.990
2/03/2018 16:00,,,29.9,0.990
2/03/2018 17:00,37.3,1.2,29.1,0.990
2/03/2018 18:00,71.0,,27.8,0.990
2/03/2018 19:00,62.4,7.9,25.8,0.990
2/03/2018 20:00,42.9,,23.4,0.991
2/03/2018 21:00,35.4,3.8,22.7,0.991
2/03/2018 22:00,17.3,,21.8,0.992
2/03/2018 23:00,31.8,11.8,21.5,0.991
3/03/2018 00:00,23.5,,20.9,0.991
3/03/2018 01:00,26.9,10.1,20.3,0.991
3/03/2018 02:00,25.6,13.9,19.9,0.991
3/03/2018 03:00,27.8,21.7,19.3,0.990
3/03/2018 04:00,22.5,8.4,18.9,0.991
3/03/2018 05:00,17.3,7.7,18.1,0.991
3/03/2018 06:00,15.4,5.4,17.8,0.992
3/03/2018 07:00,16.9,7.2,17.7,0.993
3/03/2018 08:00,16.6,4.6,18.6,0.993
3/03/2018 09:00,16.9,11.6,19.7,0.994
3/03/2018 10:00,13.0,,22.9,0.994
3/03/2018 11:00,10.3,6.7,24.1,0.994
3/03/2018 12:00,7.4,1.1,24.0,0.994
3/03/2018 13:00,,,24.0,0.993
3/03/2018 14:00,6.2,,24.1,0.993
3/03/2018 15:00,12.1,5.5,23.9,0.993
3/03/2018 16:00,20.2,,24.0,0.993
3/03/2018 17:00,15.5,,24.1,0.993
3/03/2018 18:00,10.3,13.4,24.7,0.994
3/03/2018 19:00,10.4,3.3,22.9,0.995
3/03/2018 20:00,16.2,14.3,21.5,0.996
3/03/2018 21:00,14.2,8.0,20.2,0.996
3/03/2018 22:00,10.7,2.7,19.7,0.997
3/03/2018 23:00,15.3,8.3,19.0,0.997
4/03/2018 00:00,19.0,,18.4,0.997
4/03/2018 01:00,8.0,,18.5,0.997
4/03/2018 02:00,7.3,2.1,18.4,0.997
4/03/2018 03:00,2.4,,18.6,0.997
4/03/2018 04:00,9.7,5.5,18.7,0.996
4/03/2018 05:00,,,18.5,0.997
4/03/2018 06:00,3.0,2.1,17.9,0.997
4/03/2018 07:00,9.9,4.7,17.4,0.998
4/03/2018 08:00,10.0,3.5,18.2,0.999
4/03/2018 09:00,14.6,,19.6,0.999
4/03/2018 10:00,11.0,6.3,21.8,0.999
4/03/2018 11:00,12.4,4.3,21.0,0.999
4/03/2018 12:00,10.3,9.9,21.4,0.998
4/03/2018 13:00,14.7,1.5,22.7,0.998
4/03/2018 14:00,12.0,5.0,21.7,0.998
4/03/2018 15:00,8.7,,22.1,0.998
4/03/2018 16:00,13.5,,22.8,0.997
4/03/2018 17:00,16.7,,21.8,0.997
4/03/2018 18:00,19.4,14.6,20.7,0.998
4/03/2018 19:00,13.1,12.1,19.0,0.999
4/03/2018 20:00,18.7,9.6,17.8,0.999
4/03/2018 21:00,10.7,6.9,16.9,1.000
4/03/2018 22:00,19.7,-0.9,16.3,1.000
4/03/2018 23:00,18.6,3.5,15.9,1.001
5/03/2018 00:00,14.0,18.8,15.5,1.001
5/03/2018 01:00,11.9,9.2,15.1,1.000
5/03/2018 02:00,11.4,3.5,15.3,1.000
5/03/2018 03:00,11.5,10.7,15.4,1.000
5/03/2018 04:00,16.3,5.2,15.2,1.000
5/03/2018 05:00,16.1,4.9,15.0,1.000
