"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
1/01/2018 01:00,14.0,4.4,16.3,0.991
1/01/2018 02:00,11.1,6.9,16.4,0.991
1/01/2018 03:00,13.3,2.0,16.5,0.990
1/01/2018 04:00,3.4,4.8,16.8,0.990
1/01/2018 05:00,16.0,2.5,17.0,0.990
1/01/2018 06:00,5.9,5.7,17.1,0.991
1/01/2018 07:00,10.4,4.2,17.4,0.991
1/01/2018 08:00,5.1,1.2,18.0,0.992
1/01/2018 09:00,8.1,0.0,18.4,0.992
1/01/2018 10:00,1.6,1.3,19.4,0.992
1/01/2018 11:00,4.2,2.0,20.7,0.992
1/01/2018 12:00,11.7,3.7,22.8,0.992
1/01/2018 13:00,9.5,0.2,22.4,0.991
1/01/2018 14:00,2.1,0.7,21.2,0.991
1/01/2018 15:00,6.0,0.3,21.2,0.991
1/01/2018 16:00,7.6,,21.6,0.990
1/01/2018 17:00,,,21.0,0.990
1/01/2018 18:00,5.2,-0.1,21.2,0.990
1/01/2018 19:00,2.2,-1.3,20.3,0.990
1/01/2018 20:00,7.6,0.9,19.0,0.991
1/01/2018 21:00,9.0,3.5,18.5,0.991
1/01/2018 22:00,11.7,8.8,17.5,0.992
1/01/2018 23:00,18.4,6.7,16.7,0.992
2/01/2018 00:00,,,16.2,0.992
2/01/2018 01:00,-1.1,,15.8,0.992
2/01/2018 02:00,7.7,-1.7,15.2,0.991
2/01/2018 03:00,3.6,-0.5,15.0,0.991
2/01/2018 04:00,13.0,3.0,15.4,0.991
2/01/2018 05:00,2.4,1.6,15.8,0.992
2/01/2018 06:00,10.1,1.5,15.9,0.992
2/01/2018 07:00,12.4,4.5,16.5,0.992
2/01/2018 08:00,12.5,4.6,17.7,0.993
2/01/2018 09:00,20.4,13.3,18.5,0.993
2/01/2018 10:00,19.5,7.0,20.3,0.993
2/01/2018 11:00,12.4,3.8,20.6,0.994
2/01/2018 12:00,3.4,-0.1,21.7,0.994
2/01/2018 13:00,11.1,3.8,20.9,0.994
2/01/2018 14:00,10.5,1.6,20.6,0.994
2/01/2018 15:00,4.2,5.7,20.5,0.994
2/01/2018 16:00,14.1,10.3,20.4,0.994
2/01/2018 17:00,12.2,3.2,19.9,0.994
2/01/2018 18:00,4.5,-0.8,19.9,0.994
2/01/2018 19:00,6.1,-1.2,19.3,0.995
2/01/2018 20:00,8.1,0.6,18.3,0.995
2/01/2018 21:00,13.4,2.8,17.2,0.996
2/01/2018 22:00,7.9,5.8,16.5,0.997
2/01/2018 23:00,10.0,4.7,16.4,0.997
3/01/2018 00:00,9.2,2.8,16.3,0.997
3/01/2018 01:00,9.8,10.3,16.1,0.996
3/01/2018 02:00,7.5,-0.7,16.2,0.996
3/01/2018 03:00,1.2,,16.0,0.996
3/01/2018 04:00,12.5,2.8,15.9,0.996
3/01/2018 05:00,21.2,5.4,15.8,0.996
3/01/2018 06:00,8.1,4.0,16.1,0.997
3/01/2018 07:00,12.9,3.2,16.6,0.997
3/01/2018 08:00,12.1,2.8,18.1,0.998
3/01/2018 09:00,12.7,-0.5,18.8,0.998
3/01/2018 10:00,12.1,-1.1,20.1,0.998
3/01/2018 11:00,8.4,-0.1,24.9,0.998
3/01/2018 12:00,16.4,6.5,23.8,0.998
3/01/2018 13:00,11.0,6.8,23.1,0.997
3/01/2018 14:00,8.8,,21.2,0.997
3/01/2018 15:00,14.1,2.7,20.9,0.997
3/01/2018 16:00,7.5,3.7,20.9,0.997
3/01/2018 17:00,8.0,3.3,21.4,0.996
3/01/2018 18:00,4.6,1.6,21.5,0.996
3/01/2018 19:00,19.9,7.5,21.7,0.996
3/01/2018 20:00,18.8,14.5,19.2,0.997
3/01/2018 21:00,12.9,1.5,17.4,0.997
3/01/2018 22:00,8.5,0.7,16.8,0.997
3/01/2018 23:00,6.4,5.1,16.7,0.997
4/01/2018 00:00,13.1,0.7,16.5,0.997
4/01/2018 01:00,10.6,0.1,16.2,0.997
4/01/2018 02:00,5.6,-0.3,15.8,0.997
4/01/2018 03:00,12.5,3.6,15.2,0.996
4/01/2018 04:00,10.0,6.5,14.5,0.996
4/01/2018 05:00,5.1,5.9,14.2,0.996
4/01/2018 06:00,6.4,2.4,14.4,0.996
4/01/2018 07:00,4.0,1.4,15.6,0.997
4/01/2018 08:00,24.1,5.2,19.8,0.997
4/01/2018 09:00,20.2,10.7,23.2,0.998
4/01/2018 10:00,21.0,7.4,26.0,0.997
4/01/2018 11:00,19.1,5.0,29.3,0.997
4/01/2018 12:00,7.7,3.1,28.6,0.997
4/01/2018 13:00,15.3,9.4,28.0,0.996
4/01/2018 14:00,16.0,8.3,27.0,0.996
4/01/2018 15:00,14.9,2.0,27.7,0.995
4/01/2018 16:00,14.0,6.8,27.5,0.995
4/01/2018 17:00,13.3,1.8,27.0,0.995
4/01/2018 18:00,19.2,5.6,26.6,0.994
4/01/2018 19:00,8.7,,26.3,0.994
4/01/2018 20:00,2.2,,24.3,0.995
4/01/2018 21:00,17.1,7.3,22.6,0.995
4/01/2018 22:00,37.5,19.9,22.2,0.995
4/01/2018 23:00,15.9,7.2,21.4,0.995
5/01/2018 00:00,,1.1,21.5,0.995
5/01/2018 01:00,3.6,3.1,20.4,0.995
5/01/2018 02:00,15.2,5.8,19.5,0.994
5/01/2018 03:00,10.4,4.7,18.8,0.994
5/01/2018 04:00,12.4,2.3,18.2,0.994
5/01/2018 05:00,7.7,3.8,17.5,0.994
5/01/2018 06:00,6.2,3.2,17.4,0.995
5/01/2018 07:00,17.1,5.5,18.5,0.995
5/01/2018 08:00,12.9,6.5,23.5,0.995
5/01/2018 09:00,6.8,3.7,29.0,0.994
5/01/2018 10:00,3.3,-0.5,32.1,0.994
5/01/2018 11:00,8.4,2.2,34.2,0.994
5/01/2018 12:00,17.1,4.6,36.2,0.993
5/01/2018 13:00,27.6,7.0,35.0,0.993
5/01/2018 14:00,24.7,7.6,33.5,0.992
5/01/2018 15:00,21.5,3.1,33.8,0.991
5/01/2018 16:00,13.6,11.9,33.8,0.991
5/01/2018 17:00,16.8,6.6,34.0,0.990
5/01/2018 18:00,14.9,6.2,34.1,0.990
5/01/2018 19:00,13.6,4.1,33.9,0.990
5/01/2018 20:00,14.6,8.3,31.8,0.990
5/01/2018 21:00,10.9,3.1,29.8,0.990
5/01/2018 22:00,7.8,7.8,28.2,0.990
5/01/2018 23:00,13.0,4.0,27.7,0.990
6/01/2018 00:00,,,28.8,0.989
6/01/2018 01:00,3.6,4.0,29.0,0.988
6/01/2018 02:00,14.8,5.0,29.0,0.988
6/01/2018 03:00,8.7,4.7,29.0,0.987
6/01/2018 04:00,12.2,2.1,29.0,0.987
6/01/2018 05:00,11.5,2.5,29.1,0.987
6/01/2018 06:00,7.5,1.7,28.8,0.988
6/01/2018 07:00,17.3,3.8,29.9,0.988
6/01/2018 08:00,16.7,-0.3,33.0,0.988
6/01/2018 09:00,14.2,0.1,35.6,0.988
6/01/2018 10:00,26.5,3.0,37.8,0.988
6/01/2018 11:00,32.9,2.6,39.8,0.988
6/01/2018 12:00,29.1,4.2,41.1,0.987
6/01/2018 13:00,20.9,5.1,40.0,0.987
6/01/2018 14:00,15.6,9.0,33.9,0.988
6/01/2018 15:00,,5.0,33.0,0.988
6/01/2018 16:00,19.8,12.1,34.6,0.988
6/01/2018 17:00,30.6,11.4,33.6,0.988
6/01/2018 18:00,23.5,8.1,32.2,0.989
6/01/2018 19:00,26.2,8.7,29.8,0.989
6/01/2018 20:00,16.8,12.8,26.6,0.991
6/01/2018 21:00,17.7,7.7,24.3,0.992
6/01/2018 22:00,22.3,7.6,21.4,0.992
6/01/2018 23:00,18.1,3.9,20.0,0.993
7/01/2018 00:00,40.0,14.1,18.5,0.994
7/01/2018 01:00,31.2,14.4,18.4,0.993
7/01/2018 02:00,40.2,15.0,18.1,0.993
7/01/2018 03:00,31.6,16.4,17.8,0.994
7/01/2018 04:00,29.7,12.0,17.5,0.994
7/01/2018 05:00,29.4,11.9,17.4,0.994
7/01/2018 06:00,25.3,9.1,17.7,0.994
7/01/2018 07:00,23.4,7.7,18.3,0.994
7/01/2018 08:00,24.9,10.7,19.3,0.995
