"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
1/04/2017 1:00 AM,10.6,3.9,13.6,1.003
1/04/2017 2:00 AM,11.4,1.8,13.4,1.003
1/04/2017 3:00 AM,4.3,2.4,13.3,1.003
1/04/2017 4:00 AM,7.2,3.8,13.0,1.003
1/04/2017 5:00 AM,5.8,3.9,12.9,1.003
1/04/2017 6:00 AM,6.4,0.2,13.3,1.003
1/04/2017 7:00 AM,2.9,-0.2,13.0,1.004
1/04/2017 8:00 AM,2.4,1.0,13.9,1.005
1/04/2017 9:00 AM,2.6,4.8,15.3,1.006
1/04/2017 10:00 AM,10.6,11.8,17.0,1.006
1/04/2017 11:00 AM,28.8,13.9,17.8,1.006
1/04/2017 12:00 PM,31.7,10.2,18.7,1.006
1/04/2017 1:00 PM,26.2,3.7,19.3,1.005
1/04/2017 2:00 PM,19.0,0.8,19.4,1.005
1/04/2017 3:00 PM,19.1,0.7,18.9,1.004
1/04/2017 4:00 PM,19.6,11.7,19.2,1.004
1/04/2017 5:00 PM,19.2,8.3,18.2,1.005
1/04/2017 6:00 PM,28.2,8.8,17.1,1.005
1/04/2017 7:00 PM,23.2,3.4,15.5,1.006
1/04/2017 8:00 PM,11.3,3.7,14.6,1.007
1/04/2017 9:00 PM,7.0,5.6,13.8,1.007
1/04/2017 10:00 PM,18.5,7.2,13.6,1.008
1/04/2017 11:00 PM,22.9,9.2,13.5,1.008
2/04/2017 12:00 AM,14.6,-0.5,14.1,1.008
2/04/2017 1:00 AM,17.8,4.2,14.3,1.008
2/04/2017 2:00 AM,15.4,2.1,14.1,1.008
2/04/2017 3:00 AM,12.4,3.6,14.0,1.008
2/04/2017 4:00 AM,14.5,3.4,13.7,1.008
2/04/2017 5:00 AM,15.3,7.0,13.1,1.008
2/04/2017 6:00 AM,11.6,6.3,12.3,1.009
2/04/2017 7:00 AM,12.6,1.6,11.9,1.010
2/04/2017 8:00 AM,13.7,8.4,12.6,1.010
2/04/2017 9:00 AM,7.6,2.0,15.6,1.011
2/04/2017 10:00 AM,9.3,2.4,16.1,1.011
2/04/2017 11:00 AM,15.8,0.6,17.7,1.011
2/04/2017 12:00 PM,9.1,0.0,18.7,1.010
2/04/2017 1:00 PM,6.9,1.4,19.7,1.009
2/04/2017 2:00 PM,9.9,4.4,19.6,1.009
2/04/2017 3:00 PM,9.6,1.6,19.1,1.008
