"Date/Time","PM10 BAM ug/m3","PM2.5 BAM ug/m3","Temperature Deg C","Barometric Pressure atm"
1/07/2017 01:00,3.1,3.3,8.9,1.007
1/07/2017 02:00,10.2,3.0,8.6,1.007
1/07/2017 03:00,5.3,5.4,8.4,1.007
1/07/2017 04:00,6.5,-2.1,8.4,1.006
1/07/2017 05:00,8.6,0.5,8.4,1.006
1/07/2017 06:00,3.7,1.2,8.4,1.006
1/07/2017 07:00,9.0,1.6,8.3,1.006
1/07/2017 08:00,9.0,6.5,8.1,1.006
1/07/2017 09:00,9.5,4.5,8.8,1.007
1/07/2017 10:00,10.1,2.7,11.6,1.007
1/07/2017 11:00,,-0.2,14.9,1.007
1/07/2017 12:00,2.3,2.4,15.8,1.006
1/07/2017 13:00,8.9,4.3,16.1,1.005
1/07/2017 14:00,10.3,3.2,16.7,1.004
1/07/2017 15:00,7.2,10.6,16.5,1.003
1/07/2017 16:00,15.8,7.7,15.6,1.003
1/07/2017 17:00,22.1,8.3,14.1,1.003
1/07/2017 18:00,19.3,11.4,12.9,1.002
1/07/2017 19:00,18.3,8.8,12.0,1.002
1/07/2017 20:00,23.9,12.9,11.2,1.003
1/07/2017 21:00,20.0,7.8,10.8,1.002
1/07/2017 22:00,12.7,5.5,11.0,1.002
1/07/2017 23:00,8.8,4.8,11.1,1.002
2/07/2017 00:00,14.3,-0.7,10.9,1.001
2/07/2017 01:00,12.2,1.5,10.3,1.001
2/07/2017 02:00,8.3,1.7,10.1,1.001
2/07/2017 03:00,6.4,2.9,9.5,1.001
2/07/2017 04:00,2.2,5.5,9.2,1.000
2/07/2017 05:00,8.6,2.4,9.0,1.000
2/07/2017 06:00,8.8,1.1,8.9,1.000
2/07/2017 07:00,3.2,2.4,8.9,1.000
2/07/2017 08:00,6.2,1.9,8.9,1.000
2/07/2017 09:00,5.6,3.9,9.2,0.999
2/07/2017 10:00,1.9,,11.9,0.999
2/07/2017 11:00,,-1.8,16.4,0.998
2/07/2017 12:00,,0.5,17.1,0.997
2/07/2017 13:00,-0.8,1.8,17.9,0.995
2/07/2017 14:00,1.4,3.4,18.3,0.994
2/07/2017 15:00,,,18.4,0.992
2/07/2017 16:00,5.8,4.3,17.6,0.992
2/07/2017 17:00,13.7,6.7,15.4,0.992
2/07/2017 18:00,14.6,6.5,13.7,0.992
2/07/2017 19:00,13.4,2.8,13.2,0.992
2/07/2017 20:00,11.0,-1.2,13.3,0.991
2/07/2017 21:00,6.0,1.2,12.7,0.991
2/07/2017 22:00,5.0,4.2,12.7,0.991
2/07/2017 23:00,6.7,-0.4,13.1,0.991
3/07/2017 00:00,8.2,,13.2,0.990
3/07/2017 01:00,6.8,-0.3,13.1,0.989
3/07/2017 02:00,5.2,1.8,13.7,0.988
3/07/2017 03:00,4.2,1.7,12.8,0.988
3/07/2017 04:00,,0.8,10.5,0.988
3/07/2017 05:00,,3.1,10.1,0.988
3/07/2017 06:00,3.9,3.3,9.5,0.988
3/07/2017 07:00,5.2,4.9,9.4,0.988
3/07/2017 08:00,18.7,2.1,9.1,0.988
3/07/2017 09:00,26.7,0.7,8.9,0.989
3/07/2017 10:00,24.4,2.3,10.2,0.989
3/07/2017 11:00,13.0,-0.8,12.8,0.988
3/07/2017 12:00,12.4,3.1,12.1,0.988
3/07/2017 13:00,32.2,4.6,11.3,0.987
3/07/2017 14:00,29.8,6.2,11.9,0.986
3/07/2017 15:00,29.2,3.5,12.3,0.986
3/07/2017 16:00,11.5,1.1,11.7,0.986
3/07/2017 17:00,8.0,2.9,11.6,0.986
3/07/2017 18:00,0.5,0.5,11.1,0.987
3/07/2017 19:00,1.7,3.6,11.2,0.988
3/07/2017 20:00,5.7,7.8,11.2,0.989
3/07/2017 21:00,6.0,6.1,11.4,0.989
3/07/2017 22:00,10.6,9.2,11.7,0.989
3/07/2017 23:00,10.0,5.6,11.9,0.989
4/07/2017 00:00,24.8,10.1,12.0,0.989
4/07/2017 01:00,16.2,8.3,11.8,0.989
4/07/2017 02:00,13.5,5.8,11.9,0.989
4/07/2017 03:00,17.0,5.8,12.1,0.990
4/07/2017 04:00,14.6,8.8,11.7,0.990
4/07/2017 05:00,17.1,4.1,11.8,0.990
4/07/2017 06:00,13.9,5.5,11.6,0.990
4/07/2017 07:00,15.8,4.8,11.9,0.991
4/07/2017 08:00,16.4,0.2,12.0,0.991
4/07/2017 09:00,16.8,4.2,12.2,0.992
4/07/2017 10:00,17.7,5.8,12.8,0.992
4/07/2017 11:00,16.8,7.6,13.1,0.993
4/07/2017 12:00,18.8,9.2,13.6,0.992
4/07/2017 13:00,24.2,7.4,14.2,0.992
4/07/2017 14:00,25.2,7.9,15.1,0.991
4/07/2017 15:00,31.0,4.5,14.4,0.991
4/07/2017 16:00,22.0,3.4,12.8,0.992
4/07/2017 17:00,24.1,8.3,12.1,0.992
4/07/2017 18:00,19.2,5.0,11.2,0.992
4/07/2017 19:00,18.2,4.5,10.6,0.992
4/07/2017 20:00,7.0,2.6,10.5,0.993
4/07/2017 21:00,4.1,3.3,10.4,0.993
4/07/2017 22:00,4.5,8.1,10.4,0.993
4/07/2017 23:00,7.7,6.0,10.4,0.993
5/07/2017 00:00,9.5,5.5,9.3,0.993
5/07/2017 01:00,9.9,4.6,9.5,0.993
5/07/2017 02:00,5.5,1.5,9.7,0.993
5/07/2017 03:00,7.2,2.1,9.6,0.993
5/07/2017 04:00,11.3,1.0,9.9,0.993
5/07/2017 05:00,10.6,3.7,10.1,0.993
5/07/2017 06:00,15.6,4.0,9.5,0.993
5/07/2017 07:00,13.9,2.8,9.8,0.994
